Rank| H1B Visa Sponsor| Number of LCA  *| Average Salary| Job Title
1|Syntel Consulting|1,548| $67,469|Programmer Analyst
2|Wipro|1,285| $69,216|Programmer Analyst
3|Syntel|564| $88,121|Programmer Analyst
4|Htc Global Services|556| $66,640|Programmer Analyst
5|Reliable Software Resources|464| $62,078|Programmer Analyst
6|V-Soft Consulting Group|403| $76,017|Programmer Analyst
7|Ipolarity|395| $65,706|Programmer Analyst
8|3i Infotech|367| $62,213|Programmer Analyst
9|People Tech Group|319| $70,176|Programmer Analyst
10|Mythri Consulting LLC|272| $75,727|Programmer Analyst
11|Gss Infotech Ct|238| $64,606|Programmer Analyst
12|Yash Technologies|236| $63,927|Programmer Analyst
13|8k Miles Health Cloud|232| $64,057|Programmer Analyst
14|T2m Consulting Services|214| $60,037|Programmer Analyst
15|First Tek|198| $65,715|Programmer Analyst
16|Estrada Consulting|187| $64,829|Programmer Analyst
17|Astir It Solutions|187| $64,497|Programmer Analyst
18|Tech Mahindra (Americas)|186| $73,082|Programmer Analyst
19|Strategic Resources International|183| $58,836|Programmer Analyst
20|Gateway Group Technologies|182| $61,325|Programmer Analyst
21|Hcl Global Systems|179| $74,823|Programmer Analyst
22|Akvarr|177| $63,610|Programmer Analyst
23|Logic Planet Cs|174| $61,253|Programmer Analyst
24|Iblesoft|172| $61,222|Programmer Analyst
25|Nemo It Solutions|170| $56,447|Programmer Analyst
26|Ramp Technology Group|169| $71,278|Programmer Analyst
27|Pike Solutions|167| $56,683|Programmer Analyst
28|Hadiamondstar Software Solutions|166| $63,407|Programmer Analyst
29|Lorshi Systems|165| $60,352|Programmer Analyst
30|I28 Technologies|162| $62,845|Programmer Analyst
31|Spi Management Services|161| $67,602|Programmer Analyst
32|Northstar Group|161| $61,121|Programmer Analyst
33|Sapot Systems|160| $65,369|Programmer Analyst
34|Marvelltech|159| $60,035|Programmer Analyst
35|Diaspark|154| $69,576|Programmer Analyst
36|Ksoft Systems|152| $68,224|Programmer Analyst
37|Kellton Tech|151| $69,092|Programmer Analyst
38|Niche Software Solutions|149| $65,433|Programmer Analyst
39|Econtenti|149| $62,356|Programmer Analyst
40|Srs Consulting|148| $85,335|Programmer Analyst
41|Everest Consulting Group|146| $73,096|Programmer Analyst
42|Collabera,|145| $65,469|Programmer Analyst
43|Ait Global|140| $79,300|Programmer Analyst
44|Ness Usa|138| $84,301|Programmer Analyst
45|Sunera Technologies|135| $83,726|Programmer Analyst
46|Svv Infotech|135| $61,209|Programmer Analyst
47|Nga Group|131| $73,142|Programmer Analyst
48|Isync Solutions|131| $65,015|Programmer Analyst
49|Computek Soulutions|131| $64,878|Programmer Analyst
50|Nexus It|130| $65,373|Programmer Analyst
51|Megatrendz Media Usa|130| $60,000|Programmer Analyst
52|Vista Applied Solutions Group|129| $61,760|Programmer Analyst
53|Svam International|122| $68,834|Programmer Analyst
54|Virgo|122| $66,953|Programmer Analyst
55|Applab Systems|122| $62,906|Programmer Analyst
56|Kforce|119| $82,173|Programmer Analyst
57|Akhsaya|119| $67,297|Programmer Analyst
58|Scepter Technologies|118| $72,075|Programmer Analyst
59|Polaris Consulting And Services|118| $62,107|Programmer Analyst
60|Bhrigus|116| $63,539|Programmer Analyst
61|Intalent|116| $60,129|Programmer Analyst
62|Makeurcareer|113| $68,451|Programmer Analyst
63|Venturesoft Global|113| $62,975|Programmer Analyst
64|Magnus Software Solutions|112| $60,000|Programmer Analyst
65|Aplomb Technologies|109| $61,708|Programmer Analyst
66|Keypixel Software Solutions|107| $59,105|Programmer Analyst
67|Medcomps|105| $72,538|Programmer Analyst
68|Universal Software|105| $70,686|Programmer Analyst
69|Redeemsoft|105| $64,429|Programmer Analyst
70|Snw Infotech|104| $82,203|Programmer Analyst
71|Idol Solutions|103| $60,000|Programmer Analyst
72|Dgn Technologies|102| $83,165|Programmer Analyst
73|Cavalier It|102| $69,871|Programmer Analyst
74|Sierra Infosys|101| $53,689|Programmer Analyst
75|Selsoft|101| $49,773|Programmer Analyst
76|Ybrant Technologies|100| $65,512|Programmer Analyst
77|Reliance It Services|99| $63,384|Programmer Analyst
78|Ramps International|98| $79,776|Programmer Analyst
79|Quadrant Resource|98| $68,395|Programmer Analyst
80|Ariston Tek|98| $66,268|Programmer Analyst
81|Ealearn|97| $62,876|Programmer Analyst
82|Cyma Systems|97| $62,349|Programmer Analyst
83|Edge It|97| $60,697|Programmer Analyst
84|Techno Labs|95| $77,185|Programmer Analyst
85|Codesmart|95| $69,900|Programmer Analyst
86|Quadrant 4 System|94| $71,511|Programmer Analyst
87|R2 Technologies|93| $66,647|Programmer Analyst
88|Forecast Management Solutions|93| $66,134|Programmer Analyst
89|Konkasoft|92| $85,946|Programmer Analyst
90|Interactive Media Labs|92| $68,826|Programmer Analyst
91|8k Miles Software Services|92| $67,149|Programmer Analyst
92|Softpath System|92| $65,087|Programmer Analyst
93|Vintech Solutions|91| $70,218|Programmer Analyst
94|Lead It|91| $66,952|Programmer Analyst
95|Palvai Global Services|91| $61,476|Programmer Analyst
96|Param Consulting Services|91| $58,621|Programmer Analyst
97|Sysfore Technologies|89| $72,348|Programmer Analyst
98|Prowise Solutions|88| $74,837|Programmer Analyst
99|Erp Analysts|88| $67,596|Programmer Analyst
100|Dice It Solutions|87| $83,857|Programmer Analyst
101|Seven Seas Technologies|87| $69,095|Programmer Analyst
102|Wal-Mart Associates|87| $68,809|Programmer Analyst
103|Advisean|87| $68,521|Programmer Analyst
104|Infogen Software|87| $65,182|Programmer Analyst
105|Global It|86| $65,302|Programmer Analyst
106|Techminds Group|86| $61,628|Programmer Analyst
107|Infomerica|85| $63,067|Programmer Analyst
108|Ramsai Software Solutions|84| $61,600|Programmer Analyst
109|Alpha Clinical Systems|84| $61,423|Programmer Analyst
110|Emeteors|84| $58,560|Programmer Analyst
111|Pamten|83| $71,213|Programmer Analyst
112|Svk Systems|83| $69,488|Programmer Analyst
113|Sat Solutions|83| $64,542|Programmer Analyst
114|Citadel Information Services|83| $63,296|Programmer Analyst
115|Vaktech|82| $62,040|Programmer Analyst
116|Millennium Info Tech|81| $71,173|Programmer Analyst
117|Ezen Computer Services|81| $64,269|Programmer Analyst
118|Synapsis|81| $63,814|Programmer Analyst
119|Microinfo|81| $60,140|Programmer Analyst
120|Itech Analyst|80| $73,663|Programmer Analyst
121|Cogent Infotech|80| $69,038|Programmer Analyst
122|Stratedge|80| $66,600|Programmer Analyst
123|Nic Info Tek|80| $62,174|Programmer Analyst
124|Esystems|79| $65,532|Programmer Analyst
125|Spi Research And Development Services|78| $71,692|Programmer Analyst
126|Namitus Technologies|77| $71,510|Programmer Analyst
127|Object Technology Solutions|77| $64,060|Programmer Analyst
128|Agility Technologies|76| $70,965|Programmer Analyst
129|Oncorre|76| $64,738|Programmer Analyst
130|Arcus Technologies Dba Kat Tech Systems|76| $62,020|Programmer Analyst
131|Lex Nimble Solutions|75| $77,587|Programmer Analyst
132|Dizer|75| $49,302|Programmer Analyst
133|Jrd Systems|74| $88,849|Programmer Analyst
134|Cerebra Consulting|74| $68,878|Programmer Analyst
135|Data Systems Integration Group|74| $68,423|Programmer Analyst
136|Essential Technologies,|74| $63,338|Programmer Analyst
137|Systel Of Delaware|73| $66,274|Programmer Analyst
138|Object Data|73| $63,130|Programmer Analyst
139|Logic Soft|73| $62,086|Programmer Analyst
140|Summitworks Technologies|73| $60,568|Programmer Analyst
141|Ssb Systems|73| $59,768|Programmer Analyst
142|Infosmart Systems|73| $57,628|Programmer Analyst
143|Dataserv|72| $69,069|Programmer Analyst
144|Emaestro Technologies|72| $58,632|Programmer Analyst
145|Microexcel|71| $75,887|Programmer Analyst
146|Techstar Consulting|71| $68,548|Programmer Analyst
147|Hallmark Global Technologies|71| $68,014|Programmer Analyst
148|Webilent Technology|71| $67,809|Programmer Analyst
149|Ciber|70| $76,838|Programmer Analyst
150|Sriven Systems|70| $73,714|Programmer Analyst
151|Bitwise|70| $53,067|Programmer Analyst
152|Kastech Solutions|69| $68,217|Programmer Analyst
153|Premier It Solutions|69| $62,087|Programmer Analyst
154|Idhasoft|68| $78,366|Programmer Analyst
155|S&R Professionals L.P|68| $72,219|Programmer Analyst
156|Proswift  Consulting|68| $68,650|Programmer Analyst
157|Innovative Information Technologies|68| $65,005|Programmer Analyst
158|Shubh Solutions|68| $61,618|Programmer Analyst
159|Vings Technologies|67| $71,852|Programmer Analyst
160|Sarayu Consultants|67| $67,382|Programmer Analyst
161|Clairvoyant Technosolutions|67| $62,731|Programmer Analyst
162|Celer Systems|66| $68,371|Programmer Analyst
163|Zylog Systems|66| $64,321|Programmer Analyst
164|Thirthasoft,|66| $63,106|Programmer Analyst
165|Varnar|66| $62,226|Programmer Analyst
166|International Software Systems|66| $60,891|Programmer Analyst
167|Lenora Systems|65| $68,375|Programmer Analyst
168|Performance Resources Ny|65| $65,892|Programmer Analyst
169|Bell Info Solutions|65| $59,237|Programmer Analyst
170|Erp And Erp|64| $68,408|Programmer Analyst
171|Mobile Programming|64| $67,505|Programmer Analyst
172|American Business Solutions|64| $66,379|Programmer Analyst
173|Softech International Resources|64| $63,907|Programmer Analyst
174|Softova|64| $61,292|Programmer Analyst
175|Lorsiv Technologies|64| $60,000|Programmer Analyst
176|Spectra Group|63| $65,371|Programmer Analyst
177|Global Information Technology,|63| $63,141|Programmer Analyst
178|Cnet Global Solutions|63| $63,127|Programmer Analyst
179|Sysintelli|63| $62,746|Programmer Analyst
180|Quest It Solutions|63| $60,810|Programmer Analyst
181|It Echelon|63| $60,025|Programmer Analyst
182|Vectra Infosys|63| $56,117|Programmer Analyst
183|Finsoft Consultants|62| $74,034|Programmer Analyst
184|Accenz|62| $60,634|Programmer Analyst
185|Damian Consulting|60| $62,709|Programmer Analyst
186|Dr Technologies|60| $62,683|Programmer Analyst
187|Digital Minds Technologies|60| $60,083|Programmer Analyst
188|Business Intelli Solutions|60| $59,475|Programmer Analyst
189|Invensys|60| $55,499|Programmer Analyst
190|Prospance|59| $79,887|Programmer Analyst
191|Gokatech|59| $64,277|Programmer Analyst
192|Gomiapp|59| $63,415|Programmer Analyst
193|Proficient Business Systems|59| $62,660|Programmer Analyst
194|Core It Solutions|59| $62,000|Programmer Analyst
195|Charter Global|58| $73,623|Programmer Analyst
196|Stellent Solutions|58| $65,966|Programmer Analyst
197|Vsquare Infotech|58| $59,306|Programmer Analyst
198|3core Systems|57| $70,814|Programmer Analyst
199|Sree Infotech|57| $67,999|Programmer Analyst
200|Swanktek|57| $67,576|Programmer Analyst
201|Anitsys|57| $59,386|Programmer Analyst
202|Sapvix|56| $66,290|Programmer Analyst
203|Devcare Solutions,|56| $65,402|Programmer Analyst
204|Strategic Systems|56| $64,123|Programmer Analyst
205|Infologitech|56| $63,642|Programmer Analyst
206|Ameex Technologies|56| $63,092|Programmer Analyst
207|Fatpipe Technologies|56| $63,006|Programmer Analyst
208|Network Objects|55| $82,232|Programmer Analyst
209|Anjus|55| $79,537|Programmer Analyst
210|Saturn Tech|55| $73,168|Programmer Analyst
211|Mudiam|55| $66,818|Programmer Analyst
212|Sapphire It Services|55| $65,055|Programmer Analyst
213|Qison|55| $62,349|Programmer Analyst
214|Azhvas|55| $59,818|Programmer Analyst
215|Macrosoft|54| $89,167|Programmer Analyst
216|Kaizen Technologies|54| $71,668|Programmer Analyst
217|Zenith Services|54| $66,009|Programmer Analyst
218|Isprint Technologies|54| $63,704|Programmer Analyst
219|Crom Technology|54| $62,037|Programmer Analyst
220|Prelude Systems|53| $86,553|Programmer Analyst
221|Texara Solutions|53| $82,357|Programmer Analyst
222|Siritek|53| $71,226|Programmer Analyst
223|Mudrasys.|53| $64,486|Programmer Analyst
224|Yana Software|53| $63,906|Programmer Analyst
225|Bizcloud Analytics|53| $63,585|Programmer Analyst
1|Google|3,383| $130,533|Software Engineer
2|Microsoft|1,899| $121,745|Software Engineer
3|Capgemini|1,062| $75,967|Software Engineer
4|Cerner|649| $71,620|Software Engineer
5|Facebook|492| $150,146|Software Engineer
6|Birlasoft|467| $62,791|Software Engineer
7|IBM|392| $94,439|Software Engineer
8|Intel|316| $111,556|Software Engineer
9|Uber Technologies|233| $124,711|Software Engineer
10|Tech Mahindra (Americas)|191| $85,174|Software Engineer
11|Linkedin|169| $134,903|Software Engineer
12|Motorola Mobility|156| $105,997|Software Engineer
13|Miracle Software Sysytems|156| $83,245|Software Engineer
14|Aim Big|146| $81,649|Software Engineer
15|Factset Research Systems|139| $105,281|Software Engineer
16|Sbase Technologies|137| $72,688|Software Engineer
17|Itech Us|131| $94,169|Software Engineer
18|Hitachi Consulting|121| $80,968|Software Engineer
19|Capital One Services|117| $97,133|Software Engineer
20|Frontier Technologies|117| $80,403|Software Engineer
21|Coolsoft|117| $70,615|Software Engineer
22|The Mathworks|115| $92,154|Software Engineer
23|Clearlite|114| $67,046|Software Engineer
24|Neumeric Technologies|112| $72,286|Software Engineer
25|Airbnb|111| $144,605|Software Engineer
26|Dropbox|109| $138,272|Software Engineer
27|Intraedge|109| $74,133|Software Engineer
28|Cedent Consulting|107| $67,096|Software Engineer
29|Yelp|103| $124,944|Software Engineer
30|Visionet Systems|100| $66,708|Software Engineer
31|Tabner|97| $85,419|Software Engineer
32|Gss Infotech Ct|96| $68,979|Software Engineer
33|Globallogic|90| $98,721|Software Engineer
34|Cisco Systems|89| $119,344|Software Engineer
35|Iblesoft|88| $60,227|Software Engineer
36|Cubic Technologies|87| $75,739|Software Engineer
37|Unigo|87| $64,132|Software Engineer
38|Alindus|81| $77,749|Software Engineer
39|Pinterest|80| $127,703|Software Engineer
40|Prokarma|76| $102,851|Software Engineer
41|Sudhi Infomatics|76| $70,776|Software Engineer
42|Skillsight|76| $66,763|Software Engineer
43|I-Link Solutions|74| $63,797|Software Engineer
44|Adaequare|71| $76,451|Software Engineer
45|Dotcom Team|69| $108,326|Software Engineer
46|Arista Networks|67| $124,171|Software Engineer
47|Mphasis|67| $74,601|Software Engineer
48|Symantec|65| $98,769|Software Engineer
49|Wayfair|65| $95,114|Software Engineer
50|Logistic Solutions|65| $81,193|Software Engineer
51|Altimetrik|64| $92,098|Software Engineer
52|Intuit|63| $109,169|Software Engineer
53|Emc|63| $99,605|Software Engineer
54|Openlogix|61| $76,033|Software Engineer
55|Stem Xpert|61| $60,229|Software Engineer
56|Intel Mobile Communications North America|60| $112,285|Software Engineer
57|Twitter|58| $132,712|Software Engineer
58|American Express Travel Related Services|58| $100,287|Software Engineer
59|Indsoft|58| $78,198|Software Engineer
60|Square|57| $121,063|Software Engineer
61|Octahedron|56| $64,074|Software Engineer
62|Humac|55| $71,873|Software Engineer
63|Lead It|55| $66,486|Software Engineer
64|Marvelltech|55| $61,265|Software Engineer
65|Qualcomm Technologies|54| $98,473|Software Engineer
66|Lorven Applications|54| $64,066|Software Engineer
67|Capital One, National Association|53| $98,442|Software Engineer
68|Citrix Systems|53| $98,165|Software Engineer
69|Mitchell/Martin|52| $135,820|Software Engineer
70|Aol|52| $91,312|Software Engineer
71|It People|52| $72,333|Software Engineer
72|Mindtree|52| $66,700|Software Engineer
73|Yash & Lujan Consulting|51| $79,003|Software Engineer
74|Lera Technologies|50| $62,600|Software Engineer
75|Etouch Systems|49| $87,398|Software Engineer
76|Niche Software Solutions|49| $72,074|Software Engineer
77|Spectrum Logix|48| $62,728|Software Engineer
78|Sasken Communication Technologies,|47| $82,385|Software Engineer
79|Sagitec Solutions|47| $71,098|Software Engineer
80|Kpit Infosystems|47| $62,531|Software Engineer
81|Lyft|46| $146,848|Software Engineer
82|Infovision|46| $69,149|Software Engineer
83|Cnet Global Solutions|45| $78,138|Software Engineer
84|Amiti Consulting|45| $77,830|Software Engineer
85|Stat9 Technologies|45| $72,333|Software Engineer
86|Argha Services|45| $68,556|Software Engineer
87|Yourpeople|44| $139,338|Software Engineer
88|Tableau Software|44| $111,857|Software Engineer
89|Valsatech|44| $72,624|Software Engineer
90|Kpit Infosystems|44| $62,320|Software Engineer
91|Intelliswift Software|43| $104,053|Software Engineer
92|Satin Solutions|43| $69,419|Software Engineer
93|Quest Global Services-Na|43| $69,223|Software Engineer
94|Zenith Services|43| $63,600|Software Engineer
95|Indeed|42| $107,541|Software Engineer
96|Wisdom Infotech,|42| $99,653|Software Engineer
97|Epace Technologies|42| $74,658|Software Engineer
98|Quest Global|42| $70,890|Software Engineer
99|Qualihi Software Solutions|42| $68,643|Software Engineer
100|Svv Infotech|40| $66,825|Software Engineer
101|Info Services|39| $72,314|Software Engineer
102|Veritas Technologies|38| $94,627|Software Engineer
103|Cerner Health Services|38| $80,484|Software Engineer
104|Smart Works|37| $99,148|Software Engineer
105|Trustek|37| $88,243|Software Engineer
106|Promatrix|37| $73,816|Software Engineer
107|Emeteors|37| $68,537|Software Engineer
108|Tasacom Technologies|37| $66,081|Software Engineer
109|Protocol Info Tech|37| $60,000|Software Engineer
110|Schlumberger Technology|36| $90,869|Software Engineer
111|Sourceone Technology Solutions|36| $80,142|Software Engineer
112|Xavient Information Systems|36| $74,260|Software Engineer
113|Imetris|36| $65,444|Software Engineer
114|Applab Systems|36| $64,000|Software Engineer
115|Comtec Consultants|35| $99,853|Software Engineer
116|Trianz Consulting|35| $87,761|Software Engineer
117|Accel North America|35| $80,007|Software Engineer
118|Verinon Technology Solutions|35| $77,061|Software Engineer
119|Pointwest Technologies Us|35| $72,588|Software Engineer
120|Pax InternationalInc|35| $67,881|Software Engineer
121|Slri Solutions|35| $64,600|Software Engineer
122|Nvidia|34| $137,585|Software Engineer
123|Splunk|34| $126,169|Software Engineer
124|V-Soft Consulting Group|34| $83,118|Software Engineer
125|Techdemocracy|34| $78,897|Software Engineer
126|Quantilus|34| $78,497|Software Engineer
127|Palantir Technologies|33| $113,759|Software Engineer
128|Software Programming Group|33| $64,095|Software Engineer
129|Autoliv Asp|32| $93,028|Software Engineer
130|Tenazx|32| $73,899|Software Engineer
131|Shinewell Technologies|32| $73,738|Software Engineer
132|Software Paradigms International Group|32| $71,688|Software Engineer
133|Citratek|32| $69,078|Software Engineer
134|Singular Analysts|32| $68,969|Software Engineer
135|KBR GLOBAL IT SOLUTIONS LLC|32| $65,969|Software Engineer
136|American It Solutions|32| $65,103|Software Engineer
137|Kr Elixir|32| $61,481|Software Engineer
138|Riverbed Technology|31| $136,143|Software Engineer
139|F5 Networks|31| $118,798|Software Engineer
140|Sage It|31| $69,104|Software Engineer
141|Solgenie Technologies|31| $61,935|Software Engineer
142|Thumbtack|30| $143,553|Software Engineer
143|Cyient|30| $67,875|Software Engineer
144|Methodica Technologies|30| $67,367|Software Engineer
145|Suprasoft|30| $64,689|Software Engineer
146|Lucent It Solutions|30| $62,833|Software Engineer
147|Theme Soft|29| $108,564|Software Engineer
148|Amadeus North America|29| $94,868|Software Engineer
149|Anu Software Consultants|29| $88,633|Software Engineer
150|Kinectra|29| $65,828|Software Engineer
151|Digerati Systems|29| $65,504|Software Engineer
152|Intel America's|28| $104,228|Software Engineer
153|Cgi Technologies And Solutions|28| $96,056|Software Engineer
154|Netrovert Software|28| $86,250|Software Engineer
155|Saipsit|28| $72,893|Software Engineer
156|Svk Technology Solutions|28| $67,857|Software Engineer
157|Nextgen Solutions|28| $64,695|Software Engineer
158|Braven Technologies|28| $60,992|Software Engineer
159|Tripadvisor|27| $107,426|Software Engineer
160|E-Business International|27| $93,167|Software Engineer
161|Technosoft Group|27| $66,781|Software Engineer
162|Vision It Services Usa|27| $65,002|Software Engineer
163|System Soft Technologies|26| $109,135|Software Engineer
164|Ocher Technology Group|26| $70,757|Software Engineer
165|Decisionwave|26| $60,604|Software Engineer
166|Genisys Technologies|25| $83,080|Software Engineer
167|Vastika|25| $71,279|Software Engineer
168|Lucid Technologies|25| $68,440|Software Engineer
169|Aries Computer Systems|25| $66,860|Software Engineer
